text,date,title,rating,product name
"
  Fit my 9 year old son perfect!! Overpriced though
","Reviewed in the United States on February 1, 2020",Good fit but expensive,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  estuvo bien
","Reviewed in the United States on October 27, 2020",adecuado,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Muy buena calidad
","Reviewed in the United States on October 8, 2019",Es muy lindo,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son really enjoyed the costume on Halloween.
","Reviewed in the United States on February 4, 2020",My son liked this costume.,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  As I expected
","Reviewed in the United States on January 26, 2020",All Ok,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Used as Halloween costume for youth. The costume fit as expected.
","Reviewed in the United States on December 9, 2019",Fit,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My kid loved it !!
","Reviewed in the United States on December 6, 2019",Very Happy !!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Excellent costume
","Reviewed in the United States on November 13, 2019",Fits large,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Good
","Reviewed in the United States on January 26, 2020",As advertised,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loved this! Fit great.
","Reviewed in the United States on November 18, 2019",Fantastic!!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loves his costume, even sleeps in it! This is a great costume.
","Reviewed in the United States on October 23, 2020",Love it!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  It was a bit big, but otherwise everything else was great
","Reviewed in the United States on August 9, 2020",That is is good quality,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Must have costume for Halloween...
","Reviewed in the United States on November 21, 2019",Awesome costume...,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loves his Halloween costume.
","Reviewed in the United States on September 16, 2020",Bendy Fan,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My boy was happy with the product
","Reviewed in the United States on January 15, 2020",Costume matches picture.,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loved it
","Reviewed in the United States on February 8, 2020",Great costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My child’s satisfaction
","Reviewed in the United States on December 21, 2019",Satisfied,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loves it!
","Reviewed in the United States on October 21, 2019",Very satisfied,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Excellent
","Reviewed in the United States on February 10, 2020",Good,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  I recommend you size up, my brother is 6 but we got him a 7-8 and it fit him perfect!!
","Reviewed in the United States on August 8, 2020",Super cute,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Loved it
","Reviewed in the United States on November 1, 2019",Costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son live his costume, like it shown but for the tissues is quite cheap and the plastic is quite fragile . But overall still looked great
","Reviewed in Canada on October 29, 2020",It alright :) my son loves it,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Product looks just like the picture and fast shipping too, my son was happy
","Reviewed in Canada on May 12, 2020",fast shipping,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Much too small
","Reviewed in Canada on October 19, 2020",Tiny costume,1,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Me gustó mucho el disfraz.
","Reviewed in Mexico on August 15, 2020",Le encantó a mi hijo.,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Fit perfect
","Reviewed in Canada on October 26, 2019",Perfect fit,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My 5 year old LOVES IT! Bought for Christmas with other Beast MORPHER toys! Check out the pic 😎
","Reviewed in the United States on January 14, 2020",Great for Halloween or Dress up!!!!,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My grandson practically lives in this costume! Super comfortable and well made. I bought a medium 3t-4t. He’s 38” tall and about 33 lbs. It has plenty of growing room.
","Reviewed in the United States on January 27, 2020",Once your child puts it on they won’t want to take it off!,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  I got this for my 4 year old and he absolutely loves it! It's just like the power rangers on TV! I have already had to sew up a hole in the underarm though, but he plays pretty rough. It fits him perfectly now but It will probably be too small on him rather quickly. I'm wishing I had ordered a size up.
","Reviewed in the United States on May 14, 2020",Runs a little small,4,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Fits my 2 year old perfect! After Halloween, he still wears it at home just for fun. The mask doesn't fit realistically but he enjoys it. The built in muscles are adorable (coming from mom's view). Glad i bought this for my lil power ranger :)
","Reviewed in the United States on November 17, 2019",Fit perfect.,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Slightly bigger than I thought it would be but was perfect for my 5y old to wear for another year or so. Good quality! Washes well!
","Reviewed in the United States on June 23, 2020",Good quality!,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Bought it for a friend's son as a Christmas gift and he was really excited. He fitted it immediately and ran around joyfully... he loves Power Rangers!
","Reviewed in the United States on January 18, 2020",Boys will love this!,4,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Our son loves this. He wears it at some point almost every day. Fits perfectly and has “real muscles” that he loves!
","Reviewed in the United States on December 13, 2019",Worth the money,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Cute costume. My grandson put it on the day it arrived and didn’t want to take it off.
","Reviewed in the United States on October 29, 2019",Cute.,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Awesome costume for the price. I was worried that it wouldn’t be great quality because of the price. It was way better than I thought it would be. It help up so nicely. It fit my 3 year old perfectly.
","Reviewed in the United States on November 22, 2019",Great costume quality for a great price,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Love it and my kid loves it.
","Reviewed in the United States on September 8, 2020",Very nice item and arrived the next day. I even ordered on a holiday,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  I bought this for Christmas for my youngest who wants to be the red Power Ranger when he grows up. It's a little big in him, but it just means he can use it longer! He is rough on his costumes, but I have not had to mend this at all! I strongly recommend buying this suit!
","Reviewed in the United States on March 4, 2020","True to size, durable, and makes your little man the tough Power Ranger they want to be!",5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Granddaughter loved this outfut
","Reviewed in the United States on June 28, 2020",Great costume,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Nice quality as far as these things go
","Reviewed in the United States on November 23, 2019",Cute little ranger suit,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My kids love it. So adorable. Very durable
","Reviewed in the United States on May 19, 2020",My kids love it,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  A great costume - large fit our 5 yr old with some room to grow.  Super quality (it’s not flimsy at all) and included everything except the gloves and a sword I bought separately -pleasantly surprised the pants were part of it.  He loves it and it looks great - worth every penny and then some!
","Reviewed in the United States on October 24, 2019",Perfect costume for our 5 yr old,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My five-year-old love this costume.
","Reviewed in the United States on November 24, 2019",Fits good,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Great
","Reviewed in the United States on January 8, 2020",Great,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Very thin material. My son kept taking the mask off because it was too tight. He also has a lot of hair. (Maybe the cause) He's 4yo and wears a 3t/4t. Costume had a perfect fit. He now wears it as pajamas. (Not the mask)
","Reviewed in the United States on December 14, 2019",Mask was a little tight.,3,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My son liked it fit , as expected
","Reviewed in the United States on December 15, 2019",It’s a good one,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My grandson absolutely loves his costume. It fits perfectly and is really good quality.
","Reviewed in the United States on October 24, 2019",Fits perfectly,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Fits great and was a super big hit!
","Reviewed in the United States on December 9, 2019",Good fit,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Bought this for my son for Halloween and he loved it!
","Reviewed in the United States on December 27, 2019",Great buy,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My son wanted to be a power ranger for Halloween and he loved this costume! It fit him perfectly!
","Reviewed in the United States on November 9, 2019",My son loved this!,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  It wa cute but very boxy.
","Reviewed in the United States on January 8, 2020",Cute,3,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Fast shipping Good recommend
","Reviewed in the United States on April 25, 2020",I love fast shipping,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Easy to get on and off.  Able to wear over clothes comfortably.  Padded muscles are so cute.
","Reviewed in the United States on December 16, 2019",Comfortable and easy to put on and off,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  It was a gift and they absolutely loved it
","Reviewed in the United States on February 7, 2020",Red ranger,4,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  As pictured.  A little larger then expected, but better then being smaller!
","Reviewed in the United States on September 21, 2019",Good quality costume.,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Cute costume, my son loved it.
","Reviewed in the United States on December 10, 2019",cute costume,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Fits great!
","Reviewed in the United States on November 10, 2019",Great Product!,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  The costume fit our grandson perfectly. He loves wearing it.
","Reviewed in the United States on October 25, 2020",Great fit,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  Inexpensive, easy to put on and washed well. Perfect for an active toddler!
","Reviewed in the United States on January 5, 2020",Perfect for toddlers!,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My 6 year old absolutely loved this custom and the great details!!
","Reviewed in the United States on July 31, 2020",Quality,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  my son loves it ! the only thing he dresses up as . it’s very easy to slip on and go
","Reviewed in the United States on February 17, 2020",power ranger,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  The color and outfit
","Reviewed in the United States on February 5, 2020",Nice color,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  I like it. My child is our guardian now
","Reviewed in the United States on February 10, 2020",Bigly good,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
"
  My son loves it he is always running around in it ♥️
","Reviewed in the United States on January 17, 2020",Awesome,5,Disguise Red Ranger Beast Morpher Toddler Boys' Muscle Costume
